NCBI ID        , Name                                                   ,  Expected, Covered, FP-intervals,  Length(avg.), Length SD
NZ_CP017763.1  , Bacillus subtilis strain 29R7-12                       ,     10,     10,297,  538.0,  110.4
NZ_CP010314.1  , Bacillus subtilis subsp. subtilis strain 3NA           ,     10,     10,273,  556.3,  150.7
NC_012659.1    , Bacillus anthracis str. A0248                          ,     11,     11,1302,  660.8,  285.9
NC_011835.1    , Bifidobacterium animalis subsp. lactis AD011           ,      2,      2,190,  604.0,  223.0
NZ_CP009748.1  , Bacillus subtilis strain ATCC 13952                    ,      7,      7,216,  553.3,  147.2
NZ_CP009749.1  , Bacillus subtilis strain ATCC 19217                    ,      7,      7,231,  542.8,  147.4
NC_017834.1    , Bifidobacterium animalis subsp. animalis ATCC 25527    ,      4,      4,157,  653.2,  299.0
NC_022523.1    , Bifidobacterium animalis subsp. lactis ATCC 27673      ,      4,      4,176,  613.7,  252.4
NC_017866.1    , Bifidobacterium animalis subsp. lactis B420            ,      4,      4,192,  605.1,  243.0
NZ_CP014227.1  , Capnocytophaga haemolytica strain CCUG 32990           ,      4,      4,405,  681.3,  312.6
NZ_CP014230.1  , Desulfomicrobium orale DSM 12838                       ,      2,      2,198,  566.4,  162.8
NC_013162.1    , Capnocytophaga ochracea DSM 7271                       ,      4,      4,161,  613.1,  184.1
NZ_CP012475.1  , Bacillus clausii strain ENTPro                         ,      7,      7,350,  555.3,  147.7
NZ_CP017037.1  , Dialister pneumosintes strain F0677                    ,      5,      5,407,  647.0,  257.2
NZ_CP012366.1  , Enterococcus durans strain KLDS6.0933                  ,      6,      6,202,  532.3,  101.7
NZ_CP012384.1  , Enterococcus durans strain KLDS 6.0930                 ,      6,      6,203,  532.0,  101.4
NC_006582.1    , Bacillus clausii KSM-K16 DNA                           ,      7,      7,369,  559.0,  176.2
NZ_CP016923.1  , Klebsiella pneumoniae isolate 11                       ,      8,      8,381,  543.7,  150.8
NZ_CP008740.1  , Haemophilus influenzae 2019                            ,      6,      6,132,  545.0,  107.4
NZ_CP016926.1  , Klebsiella pneumoniae isolate 23                       ,      8,      8,389,  553.2,  162.1
NZ_CP011313.1  , Klebsiella pneumoniae subsp. pneumoniae strain 234-12  ,      8,      8,392,  556.3,  154.4
NC_013721.1    , Gardnerella vaginalis 409-05                           ,      2,      2,237,  601.6,  229.9
NZ_CP007470.1  , Haemophilus influenzae strain 477                      ,      6,      6,136,  560.1,  118.2
NZ_CP007472.1  , Haemophilus influenzae strain 723                      ,      6,      6,146,  564.1,  152.6
NC_007146.2    , Haemophilus influenzae 86-028NP                        ,      6,      6,157,  548.1,  104.8
NC_014644.1    , Gardnerella vaginalis ATCC 14019 chromosome            ,      2,      2,267,  597.4,  190.2
NC_003454.1    , Fusobacterium nucleatum subsp. nucleatum ATCC 25586    ,      5,      5,766,  654.9,  281.7
NC_010376.1    , Finegoldia magna ATCC 29328 DNA                        ,      4,      4,339,  645.8,  335.1
NC_018610.1    , Lactobacillus buchneri CD034                           ,      5,      5,107,  533.4,  173.3
NC_000908.2    , Mycoplasma genitalium G37                              ,      1,      1,30,  533.8,   98.9
NZ_CP019058.1  , Gardnerella vaginalis strain GV37                      ,      2,      2,282,  588.6,  184.2
NZ_CP012716.1  , Fusobacterium nucleatum subsp. nucleatum ChDC F3162    ,      4,      4,819,  655.7,  301.7
NC_018498.1    , Mycoplasma genitalium M2288                            ,      1,      1,32,  519.3,   92.5
NC_018496.1    , Mycoplasma genitalium M6282                            ,      1,      1,30,  530.3,   95.6
NC_015428.1    , Lactobacillus buchneri NRRL B-30929                    ,      5,      5,97,  524.6,  122.8
NZ_CP019323.1  , Lactobacillus sp. WiKim39                              ,      4,      4,443,  605.1,  206.9
NZ_CP009531.1  , Lactobacillus sp. wkB8                                 ,      4,      4,108,  555.3,  162.9
NC_014752.1    , Neisseria lactamica 020-06 complete genome             ,      4,      4,176,  643.8,  294.6
NZ_CP013696.1  , Pseudomonas aeruginosa strain 12-4-4(59)               ,      4,      4,374,  555.6,  160.0
NC_017534.1    , Propionibacterium acnes 266                            ,      3,      3,197,  605.1,  270.4
NZ_CP012889.1  , Porphyromonas gingivalis 381                           ,      4,      4,105,  520.1,   78.0
NC_017535.1    , Propionibacterium acnes 6609                           ,      3,      3,195,  609.4,  279.5
NZ_AP014839.1  , Pseudomonas aeruginosa DNA                             ,      4,      4,377,  570.3,  181.0
NZ_CP011995.1  , Porphyromonas gingivalis strain A7436                  ,      4,      4,98,  540.6,  151.9
NZ_CP013680.1  , Pseudomonas aeruginosa AES-1R                          ,      1,      1,369,  556.4,  137.9
NZ_CP015347.1  , Proteus mirabilis strain AOUC-001                      ,      7,      7,261,  550.1,  176.0
NZ_CP020052.1  , Proteus mirabilis strain AR_0059                       ,      7,      7,259,  557.6,  152.2
NZ_CP021694.1  , Proteus mirabilis strain AR_0155                       ,      7,      7,281,  565.3,  171.6
NC_017550.1    , Propionibacterium acnes ATCC 11828                     ,      2,      2,183,  583.6,  210.5
NZ_CP017149.1  , Pseudomonas aeruginosa strain ATCC 15692               ,      4,      4,377,  556.7,  159.6
NZ_CP007726.1  , Neisseria elongata subsp. glycolytica ATCC 29315       ,      4,      4,179,  655.0,  324.3
NC_010729.1    , Porphyromonas gingivalis ATCC 33277 DNA                ,      4,      4,103,  525.3,  104.1
NC_018707.1    , Propionibacterium acnes C1                             ,      3,      3,206,  598.5,  265.6
NZ_CP012830.1  , Pseudomonas fluorescens strain FW300-N2E3              ,      6,      6,433,  564.4,  158.7
NZ_CP011117.1  , Pseudomonas fluorescens strain LBUM223                 ,      6,      6,437,  591.4,  217.4
NZ_CP012073.1  , Ottowia sp. oral taxon 894 strain W10237               ,      3,      3,269,  636.5,  258.7
NZ_CP019894.1  , Neisseria lactamica strain Y92-1009                    ,      4,      4,177,  603.6,  195.8
NZ_CP007241.1  , Streptococcus pyogenes strain 1E1                      ,      6,      6,126,  582.6,  180.2
NZ_CP016756.1  , Stenotrophomonas nitritireducens strain 2001           ,      4,      4,595,  616.9,  252.8
NC_014498.1    , Streptococcus pneumoniae 670-6B                        ,      4,      4,257,  591.7,  199.0
NC_012468.1    , Streptococcus pneumoniae 70585                         ,      4,      4,246,  598.4,  201.2
NC_002967.9    , Treponema denticola ATCC 35405 chromosome              ,      2,      2,132,  587.1,  220.8
NC_022246.1    , Streptococcus intermedius B196                         ,      4,      4,304,  586.0,  198.7
NC_022236.1    , Streptococcus constellatus subsp. pharyngis C232       ,      4,      4,267,  588.4,  213.5
NZ_CP021181.1  , Sphingomonas sp. DC-6                                  ,      2,      2,478,  558.8,  153.8
NC_013521.1    , Sanguibacter keddieii DSM 10542                        ,      4,      4,302,  583.3,  208.9
NC_013520.1    , Veillonella parvula DSM 2008                           ,      4,      4,366,  602.6,  224.1
NC_018089.1    , Streptococcus mutans GS-5                              ,      5,      5,195,  555.5,  150.5
NZ_AP012334.1  , Scardovia inopinata JCM 12537 DNA                      ,      2,      2,107,  590.4,  287.9
NZ_CP018221.1  , Sphingomonas sp. JJ-A5                                 ,      2,      2,348,  562.5,  178.6
NC_017768.1    , Streptococcus mutans LJ23 DNA                          ,      5,      5,203,  572.1,  172.1
NZ_CP019511.1  , Sphingomonas sp. LM7                                   ,      2,      1,379,  639.3,  335.8
NC_020561.1    , Sphingomonas sp. MM-1                                  ,      2,      2,475,  594.1,  254.4
NZ_CP009227.1  , Treponema sp. OMZ 838                                  ,      2,      2,148,  618.5,  413.7
NC_007492.2    , Pseudomonas fluorescens Pf0-1                          ,      6,      6,484,  573.8,  178.3
NC_014034.1    , Rhodobacter capsulatus SB 1003                         ,      4,      4,722,  650.8,  328.0
NZ_CP019721.1  , Veillonella parvula strain UTDB1-3                     ,      4,      4,354,  578.5,  180.0
